 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2003  8 16     0.20399     0.15540     0.16117     0.15089     0.14254     0.22983     0.15814     0.13998     0.14777         NaN     0.24783     0.47242     0.16504     0.15825     0.15736
 2003  9 15     0.20984     0.15819     0.17757     0.16126     0.15145     0.27120     0.17101     0.14652     0.15977     0.17146     0.29037     0.59567     0.19151     0.20397     0.18914
 2003 10 16     0.25728     0.18067     0.23892     0.20341     0.09119     0.30663     0.17861     0.14981     0.22966     0.13658     0.36174     0.71053     0.21361     0.33662     0.19501
 2003 11 15     0.25849     0.20293     0.30440     0.30284     0.22226     0.29906     0.21568     0.21307     0.39736     0.18518     0.31943     0.76681     0.27326     0.38861     0.30954
 2003 12 16     0.27821     0.24560     0.31315     0.33434     0.56593     0.25057     0.22424     0.30441     0.53333     0.98414     0.32862     0.78932     0.42930     0.32295     0.49597
 2004  1 16     0.24103     0.25103     0.22355     0.27124     0.52867     0.21564     0.23943     0.25077     0.48774     0.77806     0.27836     0.69650     0.53315     0.25949     0.63647
 2004  2 15     0.21346     0.19553     0.16014     0.18604     0.40759     0.21370     0.20119     0.12859     0.24818     0.85601     0.24748     0.46475     0.33430     0.20906     0.59440
 2004  3 16     0.21727     0.19204     0.15675     0.14843     0.23431     0.22480     0.19014     0.12132     0.17553     0.34750     0.27967     0.41537     0.24934     0.19718     0.41603
 2004  4 15     0.24771     0.19226     0.16150     0.13966     0.11602     0.24152     0.18026     0.12780     0.15413     0.27480     0.29036     0.37788     0.22165     0.19858     0.21398
 2004  5 16     0.21859     0.17719     0.15797     0.16730     0.15029     0.24445     0.19347         NaN         NaN         NaN     0.29451     0.35438     0.22414     0.18913     0.17830
 2004  6 15     0.20690     0.17003     0.17436     0.22077         NaN     0.22384     0.17393         NaN         NaN         NaN     0.27253     0.72766     0.21851         NaN         NaN
 2004  7 16     0.20870     0.15725     0.16781     0.17638         NaN     0.21643     0.16545         NaN         NaN         NaN     0.28940     0.63154     0.18677     0.15816         NaN
 2004  8 16     0.21582     0.15753     0.16074     0.16378     0.18230     0.23924     0.16425     0.13886     0.14551         NaN     0.29158     0.57049     0.20481     0.17153     0.15820
 2004  9 15     0.23889     0.16121     0.15415     0.15930     0.12522     0.27917     0.16247     0.14057     0.15175     0.13260     0.33788     0.45393     0.19598     0.21629     0.17446
 2004 10 16     0.27702     0.19362     0.20949     0.20384     0.24301     0.33280     0.18055     0.14496     0.18930     0.15726     0.36713     0.44331     0.20767     0.25123     0.16868
 2004 11 15     0.23497     0.23015     0.28594     0.29321     0.16716     0.30100     0.20283     0.17999     0.23275     0.79267     0.29676     0.49779     0.27585     0.37047     0.25445
 2004 12 16     0.22782     0.24251     0.24680     0.28802     0.34068     0.24111     0.25119     0.28147     0.41382     1.18967     0.23636     0.55079     0.52278     0.34971     0.64233
