 Year  M D       IOSTZ       IOSAZ       IOPFZ       IOAAZ      IOSAACZ      POSTZ       POSAZ       POPFZ       POAAZ      POSAACZ      AOSTZ       AOSAZ       AOPFZ       AOAAZ      AOSAAC
 2002  8 16     0.03577     0.03101     0.03156     0.03142     0.03034     0.03669     0.03010     0.02826     0.02783         NaN     0.04157     0.06348     0.03248     0.03312     0.03127
 2002  9 15     0.03560     0.03075     0.03240     0.03245     0.03212     0.04185     0.03122     0.02869     0.02896     0.02817     0.04670     0.06071     0.03412     0.03402     0.03292
 2002 10 16     0.03723     0.03287     0.03445     0.03364     0.03376     0.04274     0.03233     0.02968     0.03201     0.02491     0.04774     0.06730     0.03691     0.04016     0.03508
 2002 11 15     0.03660     0.03733     0.04061     0.03641     0.03317     0.04431     0.03574     0.03166     0.03875     0.03129     0.04808     0.06673     0.03753     0.04364     0.03878
 2002 12 16     0.03637     0.03669     0.03738     0.03850     0.04650     0.03503     0.03562     0.03901     0.04130     0.04904     0.04229     0.06516     0.04334     0.04366     0.04497
 2003  1 16     0.03783     0.03958     0.03275     0.03407     0.04968     0.03100     0.03285     0.02978     0.03478     0.04923     0.03971     0.06082     0.04508     0.03940     0.05521
 2003  2 14     0.03828     0.04172     0.03499     0.03164     0.03958     0.03143     0.03718     0.02841     0.03817     0.04374     0.03751     0.06033     0.04272     0.03833     0.05311
 2003  3 16     0.03692     0.03736     0.03193     0.03024     0.03469     0.03172     0.03677     0.02820     0.03566     0.04811     0.03614     0.05658     0.03906     0.03729     0.04340
 2003  4 15     0.03796     0.03657     0.03051     0.02987     0.03196     0.03316     0.03296     0.02689     0.03328     0.03647     0.04036     0.05877     0.03453     0.03668     0.03545
 2003  5 16     0.03701     0.03516     0.02985     0.03052         NaN     0.03646     0.03143     0.02960         NaN         NaN     0.04158     0.05772     0.03384     0.03530     0.03505
 2003  6 15     0.03605     0.03346     0.03509         NaN         NaN     0.03757     0.03226         NaN         NaN         NaN     0.04125     0.05979     0.03531         NaN         NaN
 2003  7 16     0.03515     0.03010     0.03260     0.03288         NaN     0.03520     0.02996         NaN         NaN         NaN     0.04126     0.06475     0.03300     0.03073         NaN
 2003  8 16     0.03510     0.02995     0.03151     0.03021     0.02960     0.03742     0.02970     0.02818     0.03093         NaN     0.03961     0.05967     0.03167     0.03225     0.03159
 2003  9 15     0.03560     0.03061     0.03335     0.03153     0.03203     0.04150     0.03118     0.02976     0.03146     0.03247     0.04259     0.06574     0.03410     0.03450     0.03463
 2003 10 16     0.03906     0.03276     0.03710     0.03531     0.03580     0.04289     0.03213     0.03083     0.03821     0.02884     0.04781     0.07420     0.03611     0.04557     0.03501
 2003 11 15     0.03820     0.03506     0.04144     0.04110     0.03340     0.04026     0.03434     0.03598     0.04602     0.03503     0.04261     0.07514     0.04045     0.04853     0.03957
 2003 12 16     0.03868     0.03775     0.04093     0.04166     0.04952     0.03549     0.03498     0.04158     0.05372     0.06679     0.04220     0.07469     0.05063     0.04334     0.04838
 2004  1 16     0.03559     0.03847     0.03544     0.03771     0.04744     0.03266     0.03579     0.03812     0.04570     0.05696     0.03812     0.06796     0.05603     0.03884     0.05627
 2004  2 15     0.03338     0.03482     0.03073     0.03150     0.04237     0.03300     0.03336     0.02852     0.03334     0.06570     0.03551     0.05608     0.04503     0.03459     0.05419
 2004  3 16     0.03479     0.03449     0.03092     0.02962     0.03347     0.03443     0.03298     0.02716     0.03067     0.04235     0.03937     0.05426     0.03963     0.03497     0.04724
 2004  4 15     0.03729     0.03459     0.03131     0.02901     0.02601     0.03726     0.03255     0.02758     0.02868     0.03881     0.04117     0.05160     0.03712     0.03570     0.03575
 2004  5 16     0.03628     0.03280     0.03123     0.03301     0.03316     0.03884     0.03357         NaN         NaN         NaN     0.04270     0.05009     0.03870     0.03554     0.03434
 2004  6 15     0.03590     0.03250     0.03234     0.03805         NaN     0.03732     0.03229         NaN         NaN         NaN     0.04195     0.06105     0.03849         NaN         NaN
 2004  7 16     0.03563     0.03036     0.03218     0.03330         NaN     0.03611     0.03028         NaN         NaN         NaN     0.04299     0.06465     0.03467     0.03172         NaN
 2004  8 16     0.03638     0.03024     0.03114     0.03177     0.03338     0.03844     0.02967     0.02791     0.02944         NaN     0.04273     0.06158     0.03501     0.03268     0.03248
 2004  9 15     0.03853     0.03093     0.03111     0.03162     0.03075     0.04204     0.03028     0.02855     0.03020     0.02791     0.04698     0.05476     0.03448     0.03468     0.03218
 2004 10 16     0.04062     0.03360     0.03551     0.03575     0.03164     0.04524     0.03211     0.03029     0.03499     0.03103     0.04737     0.05541     0.03553     0.04027     0.03249
 2004 11 15     0.03620     0.03721     0.04171     0.04166     0.03110     0.03981     0.03358     0.03393     0.03830     0.06047     0.03989     0.05765     0.04066     0.04758     0.03838
 2004 12 16     0.03493     0.03795     0.03840     0.04040     0.04151     0.03519     0.03664     0.04001     0.04649     0.07676     0.03499     0.05942     0.05585     0.04486     0.05065
 2005  1 16     0.03505     0.03532     0.03279     0.03375     0.04504     0.03370     0.03471     0.03176     0.04230     0.06637     0.03704     0.05024     0.04836     0.04092     0.06660
 2005  2 14     0.03599     0.03417     0.03059     0.03130     0.04490     0.03163     0.03861     0.02814     0.03580     0.05148     0.03659     0.05140     0.03773     0.04249     0.04977
 2005  3 16     0.03745     0.03412     0.03035     0.03113     0.03442     0.03263     0.03630     0.02847     0.03060     0.04204     0.03880     0.04969     0.03780     0.04110     0.04394
 2005  4 15     0.03717     0.03448     0.03060     0.03019     0.03176     0.03569     0.03495     0.02965     0.03260     0.03311     0.03999     0.05011     0.03665     0.03828     0.03679
 2005  5 16     0.03658     0.03424     0.03095     0.03153         NaN     0.03885     0.03424     0.02955         NaN         NaN     0.04259     0.05363     0.03853     0.03733     0.03438
 2005  6 15     0.03676     0.03309     0.03386         NaN         NaN     0.03709     0.03268         NaN         NaN         NaN     0.04116     0.06167     0.04127         NaN         NaN
 2005  7 16     0.03660     0.03111     0.03264     0.03470         NaN     0.03811     0.03214         NaN         NaN         NaN     0.04402     0.06725     0.04028     0.03339         NaN
 2005  8 16     0.03671     0.03105     0.03112     0.03106     0.03228     0.04166     0.03186     0.02794     0.02985         NaN     0.04005     0.05367     0.03577     0.03313     0.03333
 2005  9 15     0.03927     0.03183     0.03291     0.03188     0.02996     0.04718     0.03319     0.02953     0.03025         NaN     0.04384     0.06550     0.03435     0.03407     0.03345
 2005 10 16     0.04003     0.03442     0.03617     0.03403     0.02985     0.04288     0.03374     0.03138     0.03315     0.02672     0.04531     0.06683     0.03809     0.04059     0.03484
 2005 11 15     0.03902     0.03577     0.04165     0.04059     0.03303     0.03876     0.03368     0.03530     0.04690     0.07458     0.04248     0.06247     0.04607     0.05991     0.04115
 2005 12 16     0.03726     0.03778     0.03879     0.03922     0.03831     0.03402     0.03491     0.03795     0.04486     0.07493     0.04274     0.05774     0.04883     0.05603     0.05947
 2006  1 16     0.03397     0.03511     0.03459     0.03609     0.04575     0.03210     0.03286     0.03591     0.04326     0.05840     0.03883     0.05822     0.04180     0.04493     0.06575
 2006  2 14     0.03187     0.03208     0.03132     0.03371     0.03115     0.03133     0.03434     0.02812     0.03715     0.06114     0.03607     0.05406     0.04208     0.03867     0.05255
 2006  3 16     0.03379     0.03294     0.03115     0.03351     0.02780     0.03379     0.03304     0.02746     0.03015     0.04925     0.03746     0.05031     0.03880     0.03822     0.05021
 2006  4 15     0.03456     0.03299     0.03206     0.03124     0.02772     0.03647     0.03344     0.02812     0.02874     0.04217     0.04100     0.05038     0.03698     0.04133     0.04041
